scene_id,utterance,target_id,target_class,pred_top1,pred_top5,same_class_count,relation_type,annotation_match,anchor_ids,anchor_classes,missed_anchor_ids_at_k,anchor_ranks,min_anchor_rank,dense_any_reachable,dense_all_reachable,subset_tags
scene0164_00,"Facing the refrigerator, the upper kitchen cabinet that is next to the refrigerator.",14,kitchen cabinet,11,"[12, 11, 13, 35, 14]",5,relative,exact_utterance,['16'],['refrigerator'],['16'],[12],12,True,True,"['same_class_clutter', 'same_class_high_clutter', 'single_anchor', 'relative_position', 'relational', 'dense_scene', 'baseline_wrong']"
scene0164_00,the top left of the cabinets near the fridge,14,kitchen cabinet,11,"[12, 11, 13, 35, 14]",5,directional,exact_utterance,['16'],['refrigerator'],['16'],[12],12,True,True,"['same_class_clutter', 'same_class_high_clutter', 'single_anchor', 'directional', 'relational', 'dense_scene', 'baseline_wrong']"
scene0164_00,Choose the kitchen cabinet that is far left of the stove on the other side of the wall.,35,kitchen cabinet,11,"[12, 11, 13, 35, 14]",5,directional,exact_utterance,['17'],['stove'],['17'],[17],17,True,True,"['same_class_clutter', 'same_class_high_clutter', 'single_anchor', 'directional', 'relational', 'dense_scene', 'baseline_wrong']"
scene0665_00,"The cubicle to the left, near the small rectangular wooden desk",29,desk,15,"[16, 15, 17, 19, 18]",4,relative,exact_utterance,['18'],['table'],['18'],[6],6,True,True,"['same_class_clutter', 'single_anchor', 'relative_position', 'relational', 'baseline_wrong']"
scene0619_00,"Box with Prime arrow in front of tall, messy shelves.",15,box,14,"[15, 14, 18, 19, 3]",4,directional,exact_utterance,['4'],['shelf'],['4'],[6],6,True,True,"['same_class_clutter', 'single_anchor', 'directional', 'relational', 'baseline_wrong']"
scene0619_00,"Looking at the bookshelf full of clutter, choose the taller box on the right in front of the shelf.",14,box,4,"[9, 4, 10, 15, 14]",4,directional,exact_utterance,['4'],['shelf'],['4'],[7],7,True,True,"['same_class_clutter', 'single_anchor', 'directional', 'relational', 'baseline_wrong']"
scene0098_00,The box under the whiteboard,36,box,1,"[36, 27, 1, 17, 13]",3,attribute,exact_utterance,['17'],['whiteboard'],['17'],[10],10,True,True,"['same_class_clutter', 'single_anchor', 'baseline_wrong']"
scene0098_00,the box is under the white board,36,box,1,"[36, 27, 1, 34, 3]",3,attribute,exact_utterance,['17'],['whiteboard'],['17'],[10],10,True,True,"['same_class_clutter', 'single_anchor', 'baseline_wrong']"
scene0340_00,'The lamp not between the curtains.',39,lamp,28,"[39, 31, 28, 3, 5]",3,between,exact_utterance,['3'],['curtain'],['3'],[12],12,True,True,"['same_class_clutter', 'single_anchor', 'between', 'relational', 'baseline_wrong']"
scene0023_00,pick the small table that is not surrounded by the big table,5,table,3,"[5, 4, 3, 17, 28]",3,relative,exact_utterance,['3'],['table'],['3'],[14],14,True,True,"['same_class_clutter', 'single_anchor', 'relative_position', 'relational', 'baseline_wrong']"
scene0023_00,the rectangular table further from the large desk type table,5,table,3,"[5, 4, 3, 13, 16]",3,attribute,exact_utterance,['3'],['table'],['3'],[14],14,True,True,"['same_class_clutter', 'single_anchor', 'baseline_wrong']"
scene0110_00,The wardrobe closet furthest from the door,25,wardrobe closet,3,"[3, 25, 29, 23, 4]",2,directional,exact_utterance,['4'],['door'],['4'],[6],6,True,True,"['single_anchor', 'directional', 'relational', 'baseline_wrong']"
scene0213_00,'The lamp to the left if you are sitting on the couch. The lamp nearest the couch.',18,lamp,13,"[13, 18, 15, 31, 20]",2,directional,exact_utterance,['11'],['couch'],['11'],[9],9,True,True,"['single_anchor', 'directional', 'relational', 'baseline_wrong']"
scene0300_00,The big brown table not the white one,6,table,5,"[6, 5, 11, 13, 12]",2,attribute,exact_utterance,['5'],['table'],['5'],[11],11,True,True,"['single_anchor', 'baseline_wrong']"
scene0164_00,The box furthest from the stove,41,box,24,"[24, 41, 26, 31, 11]",2,directional,exact_utterance,['25'],['oven'],['25'],[15],15,True,True,"['single_anchor', 'directional', 'relational', 'dense_scene', 'baseline_wrong']"
scene0246_00,'The lamp to the left if you are lying on the bed. The lamp nearest the bed.',5,lamp,4,"[4, 5, 26, 2, 20]",2,directional,exact_utterance,['13'],['bed'],['13'],[18],18,True,True,"['single_anchor', 'directional', 'relational', 'baseline_wrong']"
scene0635_00,the highest box,25,box,1,"[5, 1, 25, 37, 28]",5,other,target_fallback,"['14', '16']","['bookshelf', 'ladder']","['14', '16']","[7, 8]",7,True,True,"['same_class_clutter', 'same_class_high_clutter', 'multi_anchor', 'baseline_wrong']"
scene0635_00,The highest of the boxes.,25,box,1,"[5, 1, 25, 37, 28]",5,other,target_fallback,"['14', '16']","['bookshelf', 'ladder']","['14', '16']","[7, 8]",7,True,True,"['same_class_clutter', 'same_class_high_clutter', 'multi_anchor', 'baseline_wrong']"
scene0635_00,This box is high atop the tall bookshelf.,25,box,1,"[5, 1, 25, 37, 28]",5,other,target_fallback,"['14', '16']","['bookshelf', 'ladder']","['14', '16']","[7, 8]",7,True,True,"['same_class_clutter', 'same_class_high_clutter', 'multi_anchor', 'baseline_wrong']"
scene0635_00,"Facing the door, the box is on top of the tall brown bookcase to the left, above the ladder.",25,box,1,"[5, 1, 25, 37, 28]",5,relative,target_fallback,"['14', '16']","['bookshelf', 'ladder']","['14', '16']","[7, 8]",7,True,True,"['same_class_clutter', 'same_class_high_clutter', 'multi_anchor', 'relative_position', 'relational', 'baseline_wrong']"
scene0635_00,"This is the highest box in the room, on top of a bookshelf next to the door.",25,box,1,"[5, 1, 25, 37, 28]",5,relative,target_fallback,"['14', '16']","['bookshelf', 'ladder']","['14', '16']","[7, 8]",7,True,True,"['same_class_clutter', 'same_class_high_clutter', 'multi_anchor', 'relative_position', 'relational', 'baseline_wrong']"
scene0670_00,Choose the garbage can  next to the  counter and under the poster that says KITCHEN,25,trash can,3,"[25, 24, 3, 4, 26]",3,relative,target_fallback,"['27', '33']","['cabinet', 'picture']","['27', '33']","[6, 11]",6,True,True,"['same_class_clutter', 'multi_anchor', 'relative_position', 'relational', 'baseline_wrong']"
scene0670_00,The small trash can by itself.,25,trash can,3,"[25, 24, 3, 4, 7]",3,relative,target_fallback,"['27', '33']","['cabinet', 'picture']","['27', '33']","[6, 11]",6,True,True,"['same_class_clutter', 'multi_anchor', 'relative_position', 'relational', 'baseline_wrong']"
scene0670_00,This trashcan is between the brown kitchen cabinets.,25,trash can,3,"[25, 24, 3, 7, 8]",3,between,target_fallback,"['27', '33']","['cabinet', 'picture']","['27', '33']","[6, 11]",6,True,True,"['same_class_clutter', 'multi_anchor', 'between', 'relational', 'baseline_wrong']"
scene0670_00,The trash can that is closest to the stove.,25,trash can,3,"[25, 24, 3, 4, 8]",3,directional,target_fallback,"['27', '33']","['cabinet', 'picture']","['27', '33']","[6, 11]",6,True,True,"['same_class_clutter', 'multi_anchor', 'directional', 'relational', 'baseline_wrong']"
scene0670_00,The trash can that is by it self,25,trash can,3,"[25, 24, 3, 4, 13]",3,relative,target_fallback,"['27', '33']","['cabinet', 'picture']","['27', '33']","[6, 11]",6,True,True,"['same_class_clutter', 'multi_anchor', 'relative_position', 'relational', 'baseline_wrong']"
scene0670_00,A white trash bin in the kitchen on a wall between to sets of counters.,25,trash can,3,"[25, 24, 3, 4, 1]",3,between,target_fallback,"['27', '33']","['cabinet', 'picture']","['27', '33']","[6, 11]",6,True,True,"['same_class_clutter', 'multi_anchor', 'between', 'relational', 'baseline_wrong']"
scene0425_00,This one is right next to the bed,30,dresser,14,"[14, 3, 20, 30, 19]",2,relative,target_fallback,"['1', '29', '3']","['wall_hanging', 'wall', 'bed']","['1', '29', '3']","[11, 8, 10]",8,True,True,"['multi_anchor', 'relative_position', 'relational', 'baseline_wrong']"
scene0425_00,The correct dresser is closest to the computer and has a red and black back pack in front of it.,30,dresser,19,"[19, 30, 24, 26, 14]",2,directional,target_fallback,"['1', '29', '3']","['wall_hanging', 'wall', 'bed']","['1', '29', '3']","[11, 8, 10]",8,True,True,"['multi_anchor', 'directional', 'relational', 'baseline_wrong']"
scene0425_00,Your looking for the dresser that is closet to the bed. The one under the blue curtain covering the window.,30,dresser,26,"[26, 24, 25, 13, 19]",2,attribute,target_fallback,"['1', '29', '3']","['wall_hanging', 'wall', 'bed']","['1', '29', '3']","[11, 8, 10]",8,True,True,"['multi_anchor', 'baseline_wrong']"
scene0425_00,This dresser is between the bed and computer desk.,30,dresser,19,"[19, 30, 11, 3, 26]",2,between,target_fallback,"['1', '29', '3']","['wall_hanging', 'wall', 'bed']","['1', '29', '3']","[11, 8, 10]",8,True,True,"['multi_anchor', 'between', 'relational', 'baseline_wrong']"
scene0425_00,It is the dresser next to the desk.,30,dresser,11,"[11, 30, 19, 20, 23]",2,relative,target_fallback,"['1', '29', '3']","['wall_hanging', 'wall', 'bed']","['1', '29', '3']","[11, 8, 10]",8,True,True,"['multi_anchor', 'relative_position', 'relational', 'baseline_wrong']"
scene0425_00,dresser directly between the bed and desk.,30,dresser,19,"[19, 30, 11, 22, 21]",2,between,target_fallback,"['1', '29', '3']","['wall_hanging', 'wall', 'bed']","['1', '29', '3']","[11, 8, 10]",8,True,True,"['multi_anchor', 'between', 'relational', 'baseline_wrong']"
scene0246_00,"The white pillow on the left as you look at the head of the bed, with no other pillows on top of it..",42,pillow,38,"[39, 38, 40, 42, 41]",6,attribute,target_fallback,['13'],['bed'],['13'],[10],10,True,True,"['same_class_clutter', 'same_class_high_clutter', 'single_anchor', 'baseline_wrong']"
scene0246_00,the white pillow on the left of the colored pillows,42,pillow,38,"[39, 38, 40, 42, 41]",6,directional,target_fallback,['13'],['bed'],['13'],[10],10,True,True,"['same_class_clutter', 'same_class_high_clutter', 'single_anchor', 'directional', 'relational', 'baseline_wrong']"
scene0246_00,"Standing at the end of the bed looking at the pillows, choose the pillow on the left side nearest the bathroom.",42,pillow,38,"[39, 38, 40, 42, 41]",6,directional,target_fallback,['13'],['bed'],['13'],[10],10,True,True,"['same_class_clutter', 'same_class_high_clutter', 'single_anchor', 'directional', 'relational', 'baseline_wrong']"
scene0246_00,The large white pillow on the left side of the bed,42,pillow,38,"[39, 38, 40, 42, 41]",6,directional,target_fallback,['13'],['bed'],['13'],[10],10,True,True,"['same_class_clutter', 'same_class_high_clutter', 'single_anchor', 'directional', 'relational', 'baseline_wrong']"
scene0246_00,"Big, white pillow on top and on the left side of the bed, when looking from the foot of the bed.",42,pillow,38,"[39, 38, 40, 42, 41]",6,directional,target_fallback,['13'],['bed'],['13'],[10],10,True,True,"['same_class_clutter', 'same_class_high_clutter', 'single_anchor', 'directional', 'relational', 'baseline_wrong']"
scene0635_00,It is the small short box on the right as you face the purple file cabinet.,28,box,1,"[5, 1, 25, 37, 28]",5,attribute,target_fallback,['41'],['floor'],['41'],[10],10,True,True,"['same_class_clutter', 'same_class_high_clutter', 'single_anchor', 'baseline_wrong']"
scene0635_00,The box on the floor in the corner.,28,box,1,"[5, 1, 25, 37, 28]",5,support,target_fallback,['41'],['floor'],['41'],[10],10,True,True,"['same_class_clutter', 'same_class_high_clutter', 'single_anchor', 'relational', 'baseline_wrong']"
