scene_id,utterance,target_id,target_class,pred_top1,pred_top5,correct_at_1,same_class_count,relation_type,anchor_ids,anchor_classes,anchor_ranks,anchor_distances,min_anchor_rank,nearest_sparse_candidates,annotation_match,subset_tags
scene0425_00,This dresser is between the bed and computer desk.,30,dresser,19,"[19, 30, 11, 3, 26]",False,2,between,"['1', '29', '3']","['wall_hanging', 'wall', 'bed']","[11, 8, 10]","[1.2756, 0.9176, 1.2002]",8,"['9', '8', '23', '11', '31']",target_fallback,"['multi_anchor', 'between', 'relational', 'baseline_wrong']"
scene0425_00,It is the dresser next to the desk.,30,dresser,11,"[11, 30, 19, 20, 23]",False,2,relative,"['1', '29', '3']","['wall_hanging', 'wall', 'bed']","[11, 8, 10]","[1.2756, 0.9176, 1.2002]",8,"['9', '8', '23', '11', '31']",target_fallback,"['multi_anchor', 'relative_position', 'relational', 'baseline_wrong']"
scene0425_00,dresser directly between the bed and desk.,30,dresser,19,"[19, 30, 11, 22, 21]",False,2,between,"['1', '29', '3']","['wall_hanging', 'wall', 'bed']","[11, 8, 10]","[1.2756, 0.9176, 1.2002]",8,"['9', '8', '23', '11', '31']",target_fallback,"['multi_anchor', 'between', 'relational', 'baseline_wrong']"
scene0246_00,"Big white pillow on top, at left side of bed.",42,pillow,38,"[39, 38, 40, 42, 41]",False,6,directional,['13'],['bed'],[10],[0.8548],10,"['43', '20', '22', '15', '7']",exact_utterance,"['same_class_clutter', 'same_class_high_clutter', 'single_anchor', 'directional', 'relational', 'baseline_wrong']"
scene0246_00,"The white pillow on the left as you look at the head of the bed, with no other pillows on top of it..",42,pillow,38,"[39, 38, 40, 42, 41]",False,6,attribute,['13'],['bed'],[10],[0.8548],10,"['43', '20', '22', '15', '7']",target_fallback,"['same_class_clutter', 'same_class_high_clutter', 'single_anchor', 'baseline_wrong']"
scene0246_00,the white pillow on the left of the colored pillows,42,pillow,38,"[39, 38, 40, 42, 41]",False,6,directional,['13'],['bed'],[10],[0.8548],10,"['43', '20', '22', '15', '7']",target_fallback,"['same_class_clutter', 'same_class_high_clutter', 'single_anchor', 'directional', 'relational', 'baseline_wrong']"
scene0246_00,"Standing at the end of the bed looking at the pillows, choose the pillow on the left side nearest the bathroom.",42,pillow,38,"[39, 38, 40, 42, 41]",False,6,directional,['13'],['bed'],[10],[0.8548],10,"['43', '20', '22', '15', '7']",target_fallback,"['same_class_clutter', 'same_class_high_clutter', 'single_anchor', 'directional', 'relational', 'baseline_wrong']"
scene0246_00,The large white pillow on the left side of the bed,42,pillow,38,"[39, 38, 40, 42, 41]",False,6,directional,['13'],['bed'],[10],[0.8548],10,"['43', '20', '22', '15', '7']",target_fallback,"['same_class_clutter', 'same_class_high_clutter', 'single_anchor', 'directional', 'relational', 'baseline_wrong']"
scene0246_00,"Big, white pillow on top and on the left side of the bed, when looking from the foot of the bed.",42,pillow,38,"[39, 38, 40, 42, 41]",False,6,directional,['13'],['bed'],[10],[0.8548],10,"['43', '20', '22', '15', '7']",target_fallback,"['same_class_clutter', 'same_class_high_clutter', 'single_anchor', 'directional', 'relational', 'baseline_wrong']"
scene0246_00,"Facing the bed, choose the pillow on the right that is closest to the bed's headboard.",41,pillow,38,"[39, 38, 40, 42, 41]",False,6,directional,['13'],['bed'],[13],[0.9799],13,"['40', '39', '38', '5', '18']",exact_utterance,"['same_class_clutter', 'same_class_high_clutter', 'single_anchor', 'directional', 'relational', 'baseline_wrong']"
scene0166_00,bottom right bag hanging on the wall with the others,37,bag,45,"[46, 45, 47, 49, 48]",False,5,other,['18'],['wall'],[9],[1.0516],9,"['36', '38', '39', '19', '20']",exact_utterance,"['same_class_clutter', 'same_class_high_clutter', 'single_anchor', 'dense_scene', 'baseline_wrong']"
scene0635_00,The box is on the floor. It has two cardboard tubes on top of it.,28,box,1,"[5, 1, 25, 37, 28]",False,5,support,['41'],['floor'],[10],[1.3825],10,"['33', '32', '31', '34', '38']",exact_utterance,"['same_class_clutter', 'same_class_high_clutter', 'single_anchor', 'relational', 'baseline_wrong']"
scene0635_00,It is the small short box on the right as you face the purple file cabinet.,28,box,1,"[5, 1, 25, 37, 28]",False,5,attribute,['41'],['floor'],[10],[1.3825],10,"['33', '32', '31', '34', '38']",target_fallback,"['same_class_clutter', 'same_class_high_clutter', 'single_anchor', 'baseline_wrong']"
scene0635_00,The box on the floor in the corner.,28,box,1,"[5, 1, 25, 37, 28]",False,5,support,['41'],['floor'],[10],[1.3825],10,"['33', '32', '31', '34', '38']",target_fallback,"['same_class_clutter', 'same_class_high_clutter', 'single_anchor', 'relational', 'baseline_wrong']"
scene0635_00,the box is near the two black bins and on floor.,28,box,1,"[5, 1, 25, 37, 28]",False,5,relative,['41'],['floor'],[10],[1.3825],10,"['33', '32', '31', '34', '38']",target_fallback,"['same_class_clutter', 'same_class_high_clutter', 'single_anchor', 'relative_position', 'relational', 'baseline_wrong']"
scene0635_00,The small box under the shelves in the corner of the two windows,28,box,1,"[5, 1, 25, 37, 28]",False,5,attribute,['41'],['floor'],[10],[1.3825],10,"['33', '32', '31', '34', '38']",target_fallback,"['same_class_clutter', 'same_class_high_clutter', 'single_anchor', 'baseline_wrong']"
scene0635_00,The box on the ground to the right of the red filing cabinet.,28,box,1,"[5, 1, 25, 37, 28]",False,5,directional,['41'],['floor'],[10],[1.3825],10,"['33', '32', '31', '34', '38']",target_fallback,"['same_class_clutter', 'same_class_high_clutter', 'single_anchor', 'directional', 'relational', 'baseline_wrong']"
scene0635_00,pick the only box sitting on the floor,28,box,1,"[5, 1, 25, 37, 28]",False,5,support,['41'],['floor'],[10],[1.3825],10,"['33', '32', '31', '34', '38']",target_fallback,"['same_class_clutter', 'same_class_high_clutter', 'single_anchor', 'relational', 'baseline_wrong']"
scene0166_00,The backpack on the wall is on the top left of the options,38,bag,45,"[46, 45, 47, 49, 48]",False,5,directional,['18'],['wall'],[11],[1.3609],11,"['39', '36', '37', '15', '14']",exact_utterance,"['same_class_clutter', 'same_class_high_clutter', 'single_anchor', 'directional', 'relational', 'dense_scene', 'baseline_wrong']"
scene0164_00,"Facing the refrigerator, the upper kitchen cabinet that is next to the refrigerator.",14,kitchen cabinet,11,"[12, 11, 13, 35, 14]",False,5,relative,['16'],['refrigerator'],[12],[1.1872],12,"['55', '11', '15', '48', '47']",exact_utterance,"['same_class_clutter', 'same_class_high_clutter', 'single_anchor', 'relative_position', 'relational', 'dense_scene', 'baseline_wrong']"
scene0164_00,There are two cabinets on the wall opposite the stove. Choose the bigger one.,14,kitchen cabinet,9,"[15, 10, 9, 12, 11]",False,5,relative,['16'],['refrigerator'],[12],[1.1872],12,"['55', '11', '15', '48', '47']",target_fallback,"['same_class_clutter', 'same_class_high_clutter', 'single_anchor', 'relative_position', 'relational', 'dense_scene', 'baseline_wrong']"
scene0164_00,It's the double cabinet right above the paper towels.,14,kitchen cabinet,11,"[12, 11, 13, 35, 14]",False,5,other,['16'],['refrigerator'],[12],[1.1872],12,"['55', '11', '15', '48', '47']",target_fallback,"['same_class_clutter', 'same_class_high_clutter', 'single_anchor', 'dense_scene', 'baseline_wrong']"
scene0164_00,"There are two groups of kitchen cabinets; three along the wall with the stove, and two on the opposite wall. Looking at the wall opposite the stove, the one with the refrigerator, please select the kitchen cabinet closest to the refrigerator.",14,kitchen cabinet,11,"[12, 11, 13, 35, 14]",False,5,directional,['16'],['refrigerator'],[12],[1.1872],12,"['55', '11', '15', '48', '47']",target_fallback,"['same_class_clutter', 'same_class_high_clutter', 'single_anchor', 'directional', 'relational', 'dense_scene', 'baseline_wrong']"
scene0164_00,the top left of the cabinets near the fridge,14,kitchen cabinet,11,"[12, 11, 13, 35, 14]",False,5,directional,['16'],['refrigerator'],[12],[1.1872],12,"['55', '11', '15', '48', '47']",exact_utterance,"['same_class_clutter', 'same_class_high_clutter', 'single_anchor', 'directional', 'relational', 'dense_scene', 'baseline_wrong']"
scene0164_00,"Facing the fridge, its the upper cabinet closest to it.",14,kitchen cabinet,11,"[12, 11, 13, 35, 14]",False,5,directional,['16'],['refrigerator'],[12],[1.1872],12,"['55', '11', '15', '48', '47']",target_fallback,"['same_class_clutter', 'same_class_high_clutter', 'single_anchor', 'directional', 'relational', 'dense_scene', 'baseline_wrong']"
scene0164_00,The large kitchen cabinet on the wall with the fridge. If you click the left of two larger doors it should select the box,14,kitchen cabinet,11,"[12, 11, 13, 35, 14]",False,5,directional,['16'],['refrigerator'],[12],[1.1872],12,"['55', '11', '15', '48', '47']",target_fallback,"['same_class_clutter', 'same_class_high_clutter', 'single_anchor', 'directional', 'relational', 'dense_scene', 'baseline_wrong']"
scene0164_00,The hanging cabinet in the corner behind the open cabinet door,35,kitchen cabinet,11,"[12, 11, 13, 35, 14]",False,5,directional,['17'],['stove'],[17],[1.36],17,"['43', '42', '3', '41', '24']",target_fallback,"['same_class_clutter', 'same_class_high_clutter', 'single_anchor', 'directional', 'relational', 'dense_scene', 'baseline_wrong']"
scene0164_00,"When facing the stove, pick the top cabinet on the left above the microwave",35,kitchen cabinet,11,"[12, 11, 13, 35, 14]",False,5,relative,['17'],['stove'],[17],[1.36],17,"['43', '42', '3', '41', '24']",target_fallback,"['same_class_clutter', 'same_class_high_clutter', 'single_anchor', 'relative_position', 'relational', 'dense_scene', 'baseline_wrong']"
scene0164_00,Choose the kitchen cabinet that is far left of the stove on the other side of the wall.,35,kitchen cabinet,11,"[12, 11, 13, 35, 14]",False,5,directional,['17'],['stove'],[17],[1.36],17,"['43', '42', '3', '41', '24']",exact_utterance,"['same_class_clutter', 'same_class_high_clutter', 'single_anchor', 'directional', 'relational', 'dense_scene', 'baseline_wrong']"
scene0164_00,the cabinet above the microwave on the counter,35,kitchen cabinet,9,"[15, 10, 9, 12, 11]",False,5,support,['17'],['stove'],[17],[1.36],17,"['43', '42', '3', '41', '24']",target_fallback,"['same_class_clutter', 'same_class_high_clutter', 'single_anchor', 'relational', 'dense_scene', 'baseline_wrong']"
scene0164_00,It's a small cabinet above a dark rectangular appliance [toaster oven?].,35,kitchen cabinet,11,"[12, 11, 13, 35, 14]",False,5,attribute,['17'],['stove'],[17],[1.36],17,"['43', '42', '3', '41', '24']",target_fallback,"['same_class_clutter', 'same_class_high_clutter', 'single_anchor', 'dense_scene', 'baseline_wrong']"
